x,y,v,p
3,27,1,bracket.png
3,28,1,bracket.png
3,29,1,bracket.png
3,71,1,bracket.png
3,72,1,bracket.png
4,26,1,bracket.png
4,27,1,bracket.png
4,28,1,bracket.png
4,29,1,bracket.png
4,30,1,bracket.png
4,69,1,bracket.png
4,70,1,bracket.png
4,71,1,bracket.png
4,72,1,bracket.png
4,73,1,bracket.png
4,74,1,bracket.png
5,24,1,bracket.png
5,25,1,bracket.png
5,26,1,bracket.png
5,30,1,bracket.png
5,31,1,bracket.png
5,32,1,bracket.png
5,67,1,bracket.png
5,68,1,bracket.png
5,69,1,bracket.png
5,73,1,bracket.png
5,74,1,bracket.png
5,75,1,bracket.png
6,24,1,bracket.png
6,30,1,bracket.png
6,31,1,bracket.png
6,32,1,bracket.png
6,45,1,bracket.png
6,46,1,bracket.png
6,47,1,bracket.png
6,48,1,bracket.png
6,49,1,bracket.png
6,50,1,bracket.png
6,51,1,bracket.png
6,52,1,bracket.png
6,53,1,bracket.png
6,54,1,bracket.png
6,55,1,bracket.png
6,68,1,bracket.png
6,69,1,bracket.png
6,70,1,bracket.png
6,75,1,bracket.png
6,76,1,bracket.png
7,21,1,bracket.png
7,22,1,bracket.png
7,24,1,bracket.png
7,25,1,bracket.png
7,30,1,bracket.png
7,31,1,bracket.png
7,43,1,bracket.png
7,44,1,bracket.png
7,45,1,bracket.png
7,46,1,bracket.png
7,47,1,bracket.png
7,48,1,bracket.png
7,49,1,bracket.png
7,50,1,bracket.png
7,51,1,bracket.png
7,52,1,bracket.png
7,53,1,bracket.png
7,54,1,bracket.png
7,55,1,bracket.png
7,56,1,bracket.png
7,69,1,bracket.png
7,74,1,bracket.png
7,75,1,bracket.png
7,77,1,bracket.png
7,78,1,bracket.png
8,19,1,bracket.png
8,20,1,bracket.png
8,21,1,bracket.png
8,22,1,bracket.png
8,23,1,bracket.png
8,25,1,bracket.png
8,26,1,bracket.png
8,31,1,bracket.png
8,41,1,bracket.png
8,42,1,bracket.png
8,43,1,bracket.png
8,56,1,bracket.png
8,57,1,bracket.png
8,58,1,bracket.png
8,68,1,bracket.png
8,69,1,bracket.png
8,74,1,bracket.png
8,75,1,bracket.png
8,77,1,bracket.png
8,78,1,bracket.png
8,79,1,bracket.png
8,80,1,bracket.png
9,18,1,bracket.png
9,19,1,bracket.png
9,20,1,bracket.png
9,22,1,bracket.png
9,23,1,bracket.png
9,25,1,bracket.png
9,26,1,bracket.png
9,31,1,bracket.png
9,32,1,bracket.png
9,40,1,bracket.png
9,41,1,bracket.png
9,42,1,bracket.png
9,58,1,bracket.png
9,59,1,bracket.png
9,60,1,bracket.png
9,67,1,bracket.png
9,68,1,bracket.png
9,73,1,bracket.png
9,74,1,bracket.png
9,76,1,bracket.png
9,77,1,bracket.png
9,80,1,bracket.png
9,81,1,bracket.png
9,82,1,bracket.png
10,17,1,bracket.png
10,18,1,bracket.png
10,23,1,bracket.png
10,24,1,bracket.png
10,26,1,bracket.png
10,27,1,bracket.png
10,32,1,bracket.png
10,33,1,bracket.png
10,38,1,bracket.png
10,39,1,bracket.png
10,40,1,bracket.png
10,59,1,bracket.png
10,60,1,bracket.png
10,61,1,bracket.png
10,67,1,bracket.png
10,68,1,bracket.png
10,73,1,bracket.png
10,76,1,bracket.png
10,81,1,bracket.png
10,82,1,bracket.png
11,17,1,bracket.png
11,18,1,bracket.png
11,24,1,bracket.png
11,27,1,bracket.png
11,32,1,bracket.png
11,33,1,bracket.png
11,36,1,bracket.png
11,37,1,bracket.png
11,38,1,bracket.png
11,61,1,bracket.png
11,62,1,bracket.png
11,63,1,bracket.png
11,66,1,bracket.png
11,67,1,bracket.png
11,72,1,bracket.png
11,73,1,bracket.png
11,75,1,bracket.png
11,76,1,bracket.png
11,82,1,bracket.png
12,17,1,bracket.png
12,18,1,bracket.png
12,24,1,bracket.png
12,25,1,bracket.png
12,27,1,bracket.png
12,28,1,bracket.png
12,33,1,bracket.png
12,34,1,bracket.png
12,35,1,bracket.png
12,36,1,bracket.png
12,37,1,bracket.png
12,63,1,bracket.png
12,64,1,bracket.png
12,65,1,bracket.png
12,66,1,bracket.png
12,71,1,bracket.png
12,72,1,bracket.png
12,74,1,bracket.png
12,75,1,bracket.png
12,82,1,bracket.png
13,17,1,bracket.png
13,18,1,bracket.png
13,19,1,bracket.png
13,20,1,bracket.png
13,25,1,bracket.png
13,26,1,bracket.png
13,28,1,bracket.png
13,29,1,bracket.png
13,34,1,bracket.png
13,35,1,bracket.png
13,64,1,bracket.png
13,65,1,bracket.png
13,66,1,bracket.png
13,71,1,bracket.png
13,74,1,bracket.png
13,79,1,bracket.png
13,80,1,bracket.png
13,81,1,bracket.png
13,82,1,bracket.png
14,17,1,bracket.png
14,18,1,bracket.png
14,20,1,bracket.png
14,21,1,bracket.png
14,26,1,bracket.png
14,29,1,bracket.png
14,70,1,bracket.png
14,71,1,bracket.png
14,73,1,bracket.png
14,74,1,bracket.png
14,79,1,bracket.png
14,80,1,bracket.png
14,81,1,bracket.png
14,82,1,bracket.png
15,20,1,bracket.png
15,21,1,bracket.png
15,26,1,bracket.png
15,27,1,bracket.png
15,29,1,bracket.png
15,30,1,bracket.png
15,69,1,bracket.png
15,70,1,bracket.png
15,72,1,bracket.png
15,73,1,bracket.png
15,78,1,bracket.png
15,79,1,bracket.png
16,21,1,bracket.png
16,22,1,bracket.png
16,27,1,bracket.png
16,28,1,bracket.png
16,30,1,bracket.png
16,31,1,bracket.png
16,69,1,bracket.png
16,70,1,bracket.png
16,72,1,bracket.png
16,73,1,bracket.png
16,78,1,bracket.png
17,22,1,bracket.png
17,27,1,bracket.png
17,28,1,bracket.png
17,30,1,bracket.png
17,31,1,bracket.png
17,68,1,bracket.png
17,69,1,bracket.png
17,71,1,bracket.png
17,72,1,bracket.png
17,77,1,bracket.png
17,78,1,bracket.png
18,22,1,bracket.png
18,23,1,bracket.png
18,28,1,bracket.png
18,29,1,bracket.png
18,31,1,bracket.png
18,32,1,bracket.png
18,68,1,bracket.png
18,70,1,bracket.png
18,71,1,bracket.png
18,76,1,bracket.png
18,77,1,bracket.png
19,23,1,bracket.png
19,24,1,bracket.png
19,29,1,bracket.png
19,32,1,bracket.png
19,67,1,bracket.png
19,68,1,bracket.png
19,70,1,bracket.png
19,71,1,bracket.png
19,76,1,bracket.png
20,24,1,bracket.png
20,29,1,bracket.png
20,30,1,bracket.png
20,32,1,bracket.png
20,33,1,bracket.png
20,66,1,bracket.png
20,67,1,bracket.png
20,69,1,bracket.png
20,70,1,bracket.png
20,75,1,bracket.png
20,76,1,bracket.png
21,24,1,bracket.png
